food,Protein,Fat,Carbohydrates,Dietary Fiber,Vitamin A,Vitamin C,Vitamin D,Zinc,Iron,Calcium,Selenium
abalone,14.5,0.6,5.1,0.0,0.056,1.7,0.0,0.7,2.7,26.4,0.095
abiyuch,3.4,0.2,40.1,12.1,0.0,123.3,0.0,0.7,3.7,18.2,0.0
acerola cherry,0.079,0.052,0.4,0.077,0.0,0.076,80.5,0.045,0.007,0.0,7.0
acerola cherry juice,1.0,0.7,11.6,0.7,0.0,3872.0,0.0,0.2,1.2,24.2,0.061
acorn dried,2.3,8.9,15.2,0.0,0.0,0.0,0.0,0.2,0.3,15.3,0.0
acorn flour,9.4,37.7,68.3,0.0,0.0,0.0,0.0,0.8,1.5,53.8,0.0
acorn raw,1.7,6.8,11.5,0.0,0.0,0.0,0.0,0.1,0.2,11.6,0.0
acorn squash cooked,2.3,0.3,29.9,9.0,0.0,22.1,0.0,0.3,1.9,90.2,0.07
acorn squash raw,3.4,0.4,44.9,6.5,0.0,47.4,0.0,0.6,3.0,142.2,0.077
adobo fresco,5.8,60.2,53.6,3.7,0.0,16.7,0.0,0.7,9.2,354.2,0.024
adzuki beans cooked,17.3,0.2,57.0,16.8,0.0,0.2,0.0,0.022,0.7,0.0,1223.6
adzuki beans raw,39.1,1.0,123.9,25.0,0.0,0.0,0.0,9.9,9.8,130.0,0.055
after eight mints nestle,0.1,1.0,6.7,0.2,0.0,0.0,0.0,0.0,0.062,1.1,0.0
agar,0.053,0.058,0.3,0.027,0.0,0.066,0.0,0.1,0.002,0.075,11.3
agave syrup,0.025,0.081,5.3,0.01,0.0,0.0,0.0,0.008,0.042,0.088,0.0
alaska king crab cooked,25.9,2.1,0.0,0.0,0.018,10.2,0.0,10.2,1.0,79.1,0.003
alaska king crab raw,31.5,1.0,0.0,0.0,0.048,12.0,0.0,10.2,1.0,79.1,0.002
alfalfa seeds,0.1,0.075,0.002,0.015,0.0,0.2,0.0,0.071,0.034,1.0,0.076
allspice ground,0.1,0.2,1.4,0.4,0.0,0.7,0.0,0.015,0.1,12.6,0.02
almond butter,3.4,8.9,3.0,1.6,0.0,0.0,0.0,0.5,0.6,55.5,0.054
almond granola bar,1.8,6.1,14.9,1.2,0.0,0.0,0.0,0.4,0.6,7.7,0.06
almond oil,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almond paste,20.4,63.0,108.5,10.9,0.0,0.2,0.0,3.4,3.6,390.4,0.037
almond rice bar,2.0,5.7,18.1,1.0,0.0,3.2,0.0,1.5,1.8,20.7,0.0
almonds raw,0.3,0.7,0.3,0.2,0.0,0.0,0.0,0.061,0.082,4.0,0.013
almonds roasted,6.4,16.6,5.3,3.2,0.0,0.0,0.0,0.9,1.1,87.3,0.017
amaranth cooked,9.3,3.9,46.0,5.2,0.0,0.0,0.0,2.1,5.2,115.6,0.074
amaranth flakes,5.9,2.7,27.0,3.6,0.0,1.0,0.0,0.011,0.7,6.5,0.009
amaranth leaves,0.7,0.075,1.1,0.0,0.0,12.1,0.0,0.3,0.6,60.2,0.058
amaranth raw,1.4,0.7,6.5,0.7,0.0,0.4,0.0,0.3,0.8,15.9,0.05
american cheese,4.5,7.9,0.9,0.0,0.036,0.0,0.007,0.6,0.2,261.3,0.014
american cheese spread,2.6,3.4,1.4,0.0,0.043,0.0,0.014,0.4,0.079,89.9,0.052
american grapes,0.035,0.087,0.4,0.09,0.0,0.032,0.0,0.091,0.099,0.3,0.03
american shad cooked,31.3,25.4,0.0,0.0,0.031,0.0,0.0,0.7,1.8,86.4,0.035
american shad raw,31.2,25.3,0.0,0.0,0.009,0.0,0.097,0.7,1.8,86.5,0.092
amp energy pepsi,0.6,0.2,29.0,0.0,0.0,0.0,0.0,0.0,0.053,31.2,0.075
amp energy sugar free pepsi,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038
ancho pepper dried,2.0,1.4,8.7,3.7,0.0,0.3,0.0,0.2,1.9,10.4,0.046
anchovy canned in oil,1.2,0.4,0.0,0.0,0.012,0.0,0.07,0.031,0.2,9.3,0.023
anchovy raw,5.8,1.4,0.0,0.0,0.097,0.0,0.0,0.5,0.9,41.6,0.045
anejo cheese,28.3,39.6,6.1,0.0,0.098,0.0,0.032,3.9,0.6,897.6,0.095
angel food cake,1.7,0.2,16.2,0.4,0.0,0.0,0.0,0.055,0.1,39.2,0.095
anise seeds,0.4,0.3,1.1,0.3,0.0,0.4,0.0,0.1,0.8,13.6,0.05
apple,0.5,0.3,25.1,4.4,0.0,0.03,8.4,0.0,0.086,0.044,194.7
apple butter,0.045,0.063,8.5,0.3,0.0,0.1,0.0,0.095,0.025,2.8,0.078
apple crisp,4.9,9.7,87.0,3.9,0.001,6.2,0.0,0.5,2.3,98.7,0.055
apple croissant,4.2,5.0,21.1,1.4,0.031,0.3,0.0,0.6,0.6,17.1,0.024
apple dippers mcdonalds,0.0,0.0,8.2,0.0,0.088,188.4,0.0,0.0,0.021,42.2,0.0
apple dried,0.6,0.2,39.1,5.1,0.0,2.6,0.0,0.1,0.8,7.7,0.076
apple juice,0.2,0.3,28.0,0.5,0.0,0.025,2.2,0.039,0.065,0.0,250.5
apple juice concentrate,1.1,0.8,86.5,0.8,0.0,4.4,0.0,0.3,1.9,42.2,0.067
apple juice martinellis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple pie,3.0,15.6,46.4,0.0,0.078,2.1,0.0,0.2,1.4,8.8,0.077
apple strudel,2.3,8.0,29.2,1.6,0.011,1.2,0.0,0.1,0.3,10.7,0.034
applesauce,0.4,0.2,27.5,2.7,0.0,0.08,2.4,0.007,0.014,0.043,180.6
apricot,0.5,0.1,3.9,0.7,0.0,0.026,3.5,0.031,0.012,0.039,90.7
apricot dried,0.2,0.015,4.4,0.5,0.0,0.012,0.0,0.055,0.2,3.9,0.04
apricot jam,0.1,0.01,12.9,0.044,0.0,1.8,0.0,0.062,0.066,4.0,0.009
apricot juice,1.5,0.07,30.1,3.9,0.0,0.1,12.0,0.028,0.1,0.053,402.6
apricot kernel oil,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apricot nectar,0.9,0.2,35.7,1.5,0.0,1.5,0.0,0.2,0.9,17.4,0.0
arepa,5.4,5.3,36.4,2.5,0.011,0.0,0.0,0.8,1.0,87.2,0.04
arrowhead,0.6,0.084,2.4,0.0,0.0,0.1,0.0,0.094,0.3,1.2,0.09
arrowroot,5.1,0.2,16.1,1.6,0.0,2.3,0.0,0.8,2.7,7.2,0.061
arrowroot flour,0.4,0.1,112.8,4.4,0.0,0.0,0.0,0.067,0.4,51.2,0.0
arroz con abichuelas,6.2,5.4,37.3,4.1,0.0,0.0,0.0,1.1,1.9,23.6,0.071
arroz con frijoles,6.8,5.6,35.6,5.0,0.0,0.0,0.0,1.1,2.3,54.0,0.069
arroz con grandules,4.0,5.7,35.4,1.6,0.0,0.0,0.0,0.9,0.3,9.2,0.0
arroz con leche,8.1,9.3,63.0,1.3,0.0,0.0,0.0,1.3,0.6,227.7,0.006
